code,ticker_tse,company_name,sector,date,close,volume,price_file
1332,1332.T,NISSUI CORP.,Fishery,2026-03-25,1370.50,1044800,data/prices/stooq/jp/1332.csv
1605,1605.T,INPEX CORP.,Mining,2026-03-25,4444.00,12701000,data/prices/stooq/jp/1605.csv
1721,1721.T,COMSYS HOLDINGS CORP.,Construction,2026-03-25,5201.00,520400,data/prices/stooq/jp/1721.csv
1801,1801.T,TAISEI CORP.,Construction,2026-03-25,16605.00,622900,data/prices/stooq/jp/1801.csv
1802,1802.T,OBAYASHI CORP.,Construction,2026-03-25,3913.00,2505300,data/prices/stooq/jp/1802.csv
1803,1803.T,SHIMIZU CORP.,Construction,2026-03-25,2976.00,4313600,data/prices/stooq/jp/1803.csv
1808,1808.T,HASEKO CORP.,Construction,2026-03-25,2979.50,1048400,data/prices/stooq/jp/1808.csv
1812,1812.T,KAJIMA CORP.,Construction,2026-03-25,6132.00,2050700,data/prices/stooq/jp/1812.csv
1925,1925.T,"DAIWA HOUSE IND. CO., LTD.",Construction,2026-03-25,5082.00,1754300,data/prices/stooq/jp/1925.csv
1928,1928.T,"SEKISUI HOUSE, LTD.",Construction,2026-03-25,3520.00,1949600,data/prices/stooq/jp/1928.csv
1963,1963.T,JGC HOLDINGS CORP.,Construction,2026-03-25,2222.00,2574000,data/prices/stooq/jp/1963.csv
2002,2002.T,NISSHIN SEIFUN GROUP INC.,Foods,2026-03-25,2076.00,619300,data/prices/stooq/jp/2002.csv
2269,2269.T,"MEIJI HOLDINGS CO., LTD.",Foods,2026-03-25,3950.00,886300,data/prices/stooq/jp/2269.csv
2282,2282.T,NH FOODS LTD.,Foods,2026-03-25,6907.00,368000,data/prices/stooq/jp/2282.csv
2413,2413.T,"M3, INC.",Services,2026-03-25,1591.50,2428900,data/prices/stooq/jp/2413.csv
2432,2432.T,"DENA CO., LTD.",Services,2026-03-25,2521.00,1072200,data/prices/stooq/jp/2432.csv
2501,2501.T,SAPPORO HOLDINGS LTD.,Foods,2026-03-25,1640.50,997400,data/prices/stooq/jp/2501.csv
2502,2502.T,"ASAHI GROUP HOLDINGS, LTD.",Foods,2026-03-25,1564.50,7047100,data/prices/stooq/jp/2502.csv
2503,2503.T,"KIRIN HOLDINGS CO., LTD.",Foods,2026-03-25,2468.50,3402500,data/prices/stooq/jp/2503.csv
2768,2768.T,SOJITZ CORP.,Trading Companies,2026-03-25,6352.00,1392900,data/prices/stooq/jp/2768.csv
2801,2801.T,KIKKOMAN CORP.,Foods,2026-03-25,1335.00,2898500,data/prices/stooq/jp/2801.csv
2802,2802.T,"AJINOMOTO CO., INC.",Foods,2026-03-25,4481.00,3042000,data/prices/stooq/jp/2802.csv
2871,2871.T,NICHIREI CORP.,Foods,2026-03-25,1957.00,1036800,data/prices/stooq/jp/2871.csv
2914,2914.T,JAPAN TOBACCO INC.,Foods,2026-03-25,5950.00,4224000,data/prices/stooq/jp/2914.csv
3086,3086.T,"J.FRONT RETAILING CO., LTD.",Retail,2026-03-25,2405.00,990700,data/prices/stooq/jp/3086.csv
3092,3092.T,"ZOZO, INC.",Retail,2026-03-25,1111.00,2054000,data/prices/stooq/jp/3092.csv
3099,3099.T,ISETAN MITSUKOSHI HOLDINGS LTD.,Retail,2026-03-25,2900.00,1686600,data/prices/stooq/jp/3099.csv
3289,3289.T,TOKYU FUDOSAN HOLDINGS CORP.,Real Estate,2026-03-25,1377.00,2272000,data/prices/stooq/jp/3289.csv
3382,3382.T,"SEVEN & I HOLDINGS CO., LTD.",Retail,2026-03-25,2080.00,5376500,data/prices/stooq/jp/3382.csv
3401,3401.T,TEIJIN LTD.,Textiles & Apparel,2026-03-25,1597.50,966000,data/prices/stooq/jp/3401.csv
3402,3402.T,"TORAY INDUSTRIES, INC.",Textiles & Apparel,2026-03-25,1111.00,5157000,data/prices/stooq/jp/3402.csv
3405,3405.T,"KURARAY CO., LTD.",Chemicals,2026-03-25,1619.00,1768700,data/prices/stooq/jp/3405.csv
3407,3407.T,ASAHI KASEI CORP.,Chemicals,2026-03-25,1557.50,3888900,data/prices/stooq/jp/3407.csv
3436,3436.T,SUMCO CORP.,Nonferrous Metals,2026-03-25,1762.00,8803300,data/prices/stooq/jp/3436.csv
3659,3659.T,"NEXON CO., LTD.",Services,2026-03-25,2944.00,2136400,data/prices/stooq/jp/3659.csv
3697,3697.T,SHIFT INC.,Services,2026-03-25,638.40,4578700,data/prices/stooq/jp/3697.csv
3861,3861.T,OJI HOLDINGS CORP.,Pulp & Paper,2026-03-25,872.70,4287900,data/prices/stooq/jp/3861.csv
4004,4004.T,RESONAC HOLDINGS CORP.,Chemicals,2026-03-25,10775.00,2672700,data/prices/stooq/jp/4004.csv
4005,4005.T,"SUMITOMO CHEMICAL CO., LTD.",Chemicals,2026-03-25,495.30,14477800,data/prices/stooq/jp/4005.csv
